Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
1802,Ondrej Duda,74,CM,"CDM, CAM",29,Slovakia,Serie A Enilive,Hellas Verona
1803,Alfred Duncan,74,CM,CDM,31,Ghana,Serie A Enilive,Venezia
1804,Maxime Dupé,74,GK,,31,France,Ligue 1 McDonald's,OGC Nice
1805,Jhon Durán,74,ST,,20,Colombia,Premier League,Aston Villa
1806,Filip Đuričić,74,CAM,LM,32,Serbia,Hellas Liga,Panathinaikos
1807,Rafiu Durosinmi,74,ST,,21,Nigeria,Česká Liga,Viktoria Plzeň
1808,Tyronne Ebuehi,74,RB,,28,Nigeria,Serie A Enilive,Empoli
1809,Rodrigo Echeverría,74,CM,"CDM, CB",29,Chile,Primera División,Huracán
1810,Anwar El Ghazi,74,LM,"RM, CAM, LW",29,Holland,EFL Championship,Cardiff City
1811,Meschack Elia,74,ST,"RM, LM",27,Congo DR,CSSL,BSC Young Boys
1812,Gonzalo Escalante,74,CM,CDM,31,Argentina,LALIGA HYPERMOTION,Cádiz CF
1813,Aarón,74,GK,,28,Spain,LALIGA HYPERMOTION,R. Oviedo
1814,Escudero,74,LB,LM,35,Spain,LALIGA HYPERMOTION,RC Deportivo
1815,Mateus Fernandes,74,CM,"CAM, LW",20,Portugal,Premier League,Southampton
1816,Maxime Estève,74,CB,,22,France,EFL Championship,Burnley
1817,Jonny Evans,74,CB,,36,Northern Ireland,Premier League,Man Utd
1818,Edu Expósito,74,CM,"CDM, CAM",28,Spain,LALIGA EA SPORTS,RCD Espanyol
1819,Abdessamad Ezzalzouli,74,LM,"RM, LW",22,Morocco,LALIGA EA SPORTS,Real Betis
1820,Rasmus Falk,74,CM,CDM,32,Denmark,3F Superliga,F.C. København
1821,Facundo Farías,74,ST,CAM,22,Argentina,MLS,Inter Miami CF
1822,Federico Fattori,74,CDM,CM,32,Argentina,Primera División,Huracán
1823,Peque,74,CAM,,21,Spain,LALIGA EA SPORTS,Sevilla FC
1824,Evan Ferguson,74,ST,,19,Republic of Ireland,Premier League,Brighton
1825,Jean,74,GK,,28,Brazil,Libertadores,Cerro Porteño
1826,Nicolás Fernández,74,ST,,28,Argentina,Sudamericana,Belgrano
1827,Zian Flemming,74,ST,CAM,26,Holland,EFL Championship,Burnley
1828,James Forrest,74,RW,"LW, RM",33,Scotland,Scottish Prem,Celtic
1829,Gabriel Pec,74,RW,"LW, RM",23,Brazil,MLS,LA Galaxy
1830,Dimitri Foulquier,74,RB,,31,France,LALIGA EA SPORTS,Valencia CF
1831,Mohamed Fouzair,74,RM,"LM, CM, RW",32,Morocco,ROSHN Saudi League,Al Raed
1832,Roberto Gagliardini,74,CDM,CM,30,Italy,Serie A Enilive,Monza
1833,Hernán Galíndez,74,GK,,37,Ecuador,Primera División,Huracán
1834,Antonino Gallo,74,LB,,24,Italy,Serie A Enilive,Lecce
1835,Agustín García Basso,74,CB,,32,Argentina,Sudamericana,Racing Club
1836,Raúl García,74,ST,,23,Spain,LALIGA EA SPORTS,CA Osasuna
1837,Unai García,74,CB,,32,Spain,LALIGA EA SPORTS,CA Osasuna
1838,Kike García,74,ST,,34,Spain,LALIGA EA SPORTS,D. Alavés
1839,Johan Gastien,74,CDM,CM,36,France,Ligue 2 BKT,Clermont Foot 63
1840,Dennis Geiger,74,CDM,CM,26,Germany,Bundesliga,TSG Hoffenheim
1841,Andreas Gianniotis,74,GK,,31,Greece,Trendyol Süper Lig,Kasımpaşa
1842,Robert Glatzel,74,ST,,30,Germany,Bundesliga 2,Hamburger SV
1843,Wilfried Gnonto,74,RM,"LM, ST, RW",20,Italy,EFL Championship,Leeds United
1844,Yeimar Gómez Andrade,74,CB,,32,Colombia,MLS,Sounders FC
1845,Sergio Gómez,74,LB,,24,Spain,LALIGA EA SPORTS,Real Sociedad
1846,Craig Goodwin,74,LM,"RM, LW",32,Australia,ROSHN Saudi League,Al Wehda
1847,Jon Gorenc Stanković,74,CDM,,28,Slovenia,Ö. Bundesliga,SK Sturm Graz
1848,Andreaw Gravillon,74,CB,RB,26,France,Trendyol Süper Lig,Adana Demirspor
1849,Florian Grillitsch,74,CB,CDM,29,Austria,Bundesliga,TSG Hoffenheim
1850,Kamil Grosicki,74,LM,LW,36,Poland,PKO BP Ekstraklasa,Pogoń Szczecin
1851,Brajan Gruda,74,CAM,RW,20,Germany,Premier League,Brighton
1852,Gabriel Gudmundsson,74,LB,LM,25,Sweden,Ligue 1 McDonald's,LOSC Lille
1853,Evann Guessand,74,ST,,23,Côte d'Ivoire,Ligue 1 McDonald's,OGC Nice
1854,Rafik Guitane,74,RW,RM,25,Algeria,Liga Portugal,SC Braga
1855,Angus Gunn,74,GK,,28,Scotland,EFL Championship,Norwich
1856,Guridi,74,CAM,"CM, CDM",29,Spain,LALIGA EA SPORTS,D. Alavés
1857,Emmanuel Gyasi,74,RM,"LM, ST, RW",30,Ghana,Serie A Enilive,Empoli
1858,Janik Haberer,74,CM,CDM,30,Germany,Bundesliga,Union Berlin
1859,Amir Hadžiahmetović,74,CDM,CM,27,Bosnia and Herzegovina,Trendyol Süper Lig,Çaykur Rizespor
1860,Ianis Hagi,74,CAM,RM,25,Romania,Scottish Prem,Rangers
1861,Massadio Haïdara,74,CB,"LB, LM",31,Mali,Ligue 1 McDonald's,Stade Brestois 29
1862,Haris Hajradinović,74,CM,CAM,30,Bosnia and Herzegovina,Trendyol Süper Lig,Kasımpaşa
1863,Hákon Arnar Haraldsson,74,LM,"CAM, LW",21,Iceland,Ligue 1 McDonald's,LOSC Lille
1864,Gauthier Hein,74,CAM,RM,28,France,Ligue 2 BKT,FC Metz
1865,Mees Hilgers,74,CB,,23,Holland,Eredivisie,FC Twente
1866,Marwin Hitz,74,GK,,36,Switzerland,CSSL,FC Basel 1893
1867,Emil Holm,74,RM,"RB, RW",24,Sweden,Serie A Enilive,Bologna
1868,Lewis Holtby,74,CM,"CDM, CAM",33,Germany,Bundesliga,Holstein Kiel
1869,Robin Hranáč,74,CB,,24,Czech Republic,Bundesliga,TSG Hoffenheim
1870,Patrik Hrošovský,74,CDM,CM,32,Slovakia,1A Pro League,KRC Genk
1871,Will Hughes,74,CDM,CM,29,England,Premier League,Crystal Palace
1872,Omari Hutchinson,74,RM,"CAM, LM, RW",20,Jamaica,Premier League,Ipswich
1873,Elseid Hysaj,74,LB,RB,30,Albania,Serie A Enilive,Latium
1874,Iborra,74,CDM,,36,Spain,LALIGA HYPERMOTION,Levante UD
1875,Juan Iglesias,74,RB,LB,26,Spain,LALIGA EA SPORTS,Getafe CF
1876,Kelechi Iheanacho,74,ST,,27,Nigeria,LALIGA EA SPORTS,Sevilla FC
1877,Danny Ings,74,ST,,32,England,Premier League,West Ham
1878,Jackson Irvine,74,CM,CDM,31,Australia,Bundesliga,FC St. Pauli
1879,Carlos Izquierdoz,74,CB,,35,Argentina,Sudamericana,Lanús
1880,Armando Izzo,74,CB,,32,Italy,Serie A Enilive,Monza
1881,Iván Jaime,74,LM,"CAM, ST, LW",23,Spain,Liga Portugal,FC Porto
1882,Ismail Jakobs,74,LB,LM,25,Senegal,Trendyol Süper Lig,Galatasaray
1883,Lucas Janson,74,LM,LW,30,Argentina,Sudamericana,Boca Juniors
1884,Martin Jedlička,74,GK,,26,Czech Republic,Česká Liga,Viktoria Plzeň
1885,Tin Jedvaj,74,CB,,28,Croatia,Hellas Liga,Panathinaikos
1886,Fredrik Jensen,74,CAM,"RM, CM",27,Finland,Bundesliga,FC Augsburg
1887,Moritz Jenz,74,CB,,25,Germany,Bundesliga,1. FSV Mainz 05
1888,Raúl Jiménez,74,ST,,33,Mexico,Premier League,Fulham
1889,Viktor Johansson,74,GK,,26,Sweden,EFL Championship,Stoke City
1890,Jens Jønsson,74,CDM,CM,31,Denmark,Hellas Liga,AEK Athens
1891,Joo Min Kyu,74,ST,,34,Korea Republic,K League 1,Ulsan Hyundai
1892,Jesse Joronen,74,GK,,31,Finland,Serie A Enilive,Venezia
1893,Václav Jurečka,74,ST,"CAM, LW",30,Czech Republic,Česká Liga,Slavia Praha
1894,Jutglà,74,ST,"LM, LW",25,Spain,1A Pro League,Club Brugge
1895,Lukáš Kalvach,74,CM,CDM,29,Czech Republic,Česká Liga,Viktoria Plzeň
1896,Glen Kamara,74,CDM,CM,28,Finland,Ligue 1 McDonald's,Stade Rennais FC
1897,Efecan Karaca,74,CAM,"RM, ST",34,Turkey,Trendyol Süper Lig,Alanyaspor
1898,Oleksandr Karavaiev,74,RB,"RM, LB",32,Ukraine,Ukrayina Liha,Dynamo Kyiv
1899,Naby Keïta,74,CM,"CDM, CAM",29,Guinea,Bundesliga,SV Werder Bremen
1900,Otar Kiteishvili,74,CAM,,28,Georgia,Ö. Bundesliga,SK Sturm Graz
1901,Klauss,74,ST,,27,Brazil,MLS,St. Louis CITY SC
1902,Mateusz Klich,74,CM,"CDM, LW",34,Poland,MLS,D.C. United
1903,Robin Knoche,74,CB,,32,Germany,Bundesliga 2,1. FC Nürnberg
1904,Konstantinos Koulierakis,74,CB,,20,Greece,Bundesliga,VfL Wolfsburg
1905,Alex Král,74,CDM,CM,26,Czech Republic,LALIGA EA SPORTS,RCD Espanyol
1906,Lukas Kübler,74,RB,"CB, LB",32,Germany,Bundesliga,SC Freiburg
1907,Marash Kumbulla,74,CB,,24,Albania,LALIGA EA SPORTS,RCD Espanyol
1908,Sven Kums,74,CM,,36,Belgium,1A Pro League,KAA Gent
1909,Daler Kuzyaev,74,CM,CAM,31,Russia,Ligue 1 McDonald's,Havre AC
1910,Adam Lallana,74,CAM,CM,36,England,Premier League,Southampton
1911,Sam Lammers,74,ST,,27,Holland,Eredivisie,FC Twente
1912,Loïc Lapoussin,74,LM,LW,28,Madagascar,1A Pro League,R. Union St.-G.
1913,Gautier Larsonneur,74,GK,,27,France,Ligue 1 McDonald's,AS Saint-Étienne
1914,Hugo Larsson,74,CM,CDM,20,Sweden,Bundesliga,Frankfurt
1915,Toni Lato,74,LB,LM,26,Spain,LALIGA EA SPORTS,RCD Mallorca
1916,Darko Lazović,74,LM,"CAM, LW",33,Serbia,Serie A Enilive,Hellas Verona
1917,Lee Dong Kyeong,74,CAM,"CM, RW",26,Korea Republic,K League 1,Gimcheon Sangmu
1918,Lee Chang Geun,74,GK,,31,Korea Republic,K League 1,Daejeon
1919,Jamie Leweling,74,RM,"RW, ST",23,Germany,Bundesliga,VfB Stuttgart
1920,Adryelson,74,CB,,26,Brazil,Ligue 1 McDonald's,OL
1921,Karol Linetty,74,CM,CAM,29,Poland,Serie A Enilive,Torino
1922,Jesse Lingard,74,CAM,ST,31,England,K League 1,FC Seoul
1923,Ondřej Lingr,74,CAM,"LW, RW",25,Czech Republic,Česká Liga,Slavia Praha
1924,Dejan Ljubičić,74,CM,"CDM, RM",26,Austria,Bundesliga 2,1. FC Köln
1925,Andrés Llinás,74,CB,,27,Colombia,Libertadores,Millonarios
1926,Gautier Lloris,74,CB,,29,France,Ligue 1 McDonald's,Havre AC
1927,Gastón Lódico,74,LM,"CAM, CM, LW",26,Argentina,Primera División,Instituto
1928,Yury Lodygin,74,GK,,34,Russia,Hellas Liga,Panathinaikos
1929,Joe Lolley,74,RM,RW,32,England,A-League,Sydney FC
1930,Cadu,74,LM,"RM, LW",27,Brazil,Česká Liga,Viktoria Plzeň
1931,Unai López,74,CDM,"CM, CAM",28,Spain,LALIGA EA SPORTS,Rayo Vallecano
1932,Hernán López Muñoz,74,CAM,"RM, LM",24,Argentina,MLS,SJ Earthquakes
1933,Anthony Losilla,74,CDM,CM,38,France,Bundesliga,VfL Bochum 1848
1934,Dejan Lovren,74,CB,,35,Croatia,Ligue 1 McDonald's,OL
1935,John Lundstram,74,CDM,,30,England,Trendyol Süper Lig,Trabzonspor
1936,Kevin Mac Allister,74,CB,RB,26,Argentina,1A Pro League,R. Union St.-G.
1937,Koki Machida,74,CB,,27,Japan,1A Pro League,R. Union St.-G.
1938,Daizen Maeda,74,LW,"RW, LM",26,Japan,Scottish Prem,Celtic
1939,Giulio Maggiore,74,CM,CDM,26,Italy,Serie BKT,Salernitana
1940,Hörður Magnússon,74,CB,,31,Iceland,Hellas Liga,Panathinaikos
1941,Ryan Manning,74,LB,,28,Republic of Ireland,Premier League,Southampton
1942,Tomás Marchiori,74,GK,,29,Argentina,Primera División,Vélez Sarsfield
1943,Iván Marcone,74,CDM,CM,34,Argentina,Primera División,Independiente
1944,Pep Biel,74,CAM,ST,28,Spain,MLS,Charlotte FC
1945,Neal Maupay,74,ST,,28,France,Ligue 1 McDonald's,OM
1946,Mark McKenzie,74,CB,,25,United States,Ligue 1 McDonald's,Toulouse FC
1947,Marvin Mehlem,74,CAM,CM,27,Germany,EFL Championship,Hull City
1948,Nico Melamed,74,CAM,LM,23,Spain,LALIGA HYPERMOTION,UD Almería
1949,Domingos Duarte,74,CB,,29,Portugal,LALIGA EA SPORTS,Getafe CF
1950,Teden Mengi,74,CB,,22,England,EFL Championship,Luton Town
1951,Illan Meslier,74,GK,,24,France,EFL Championship,Leeds United
1952,Rony Lopes,74,RM,"RW, ST",28,Portugal,Trendyol Süper Lig,Alanyaspor
1953,Djordje Mihailovic,74,CAM,CM,25,United States,MLS,Colorado Rapids
1954,Sven Mijnans,74,CM,"CAM, RW",24,Holland,Eredivisie,AZ
1955,Yankuba Minteh,74,RM,RW,20,Gambia,Premier League,Brighton
1956,Bojan Miovski,74,ST,,25,North Macedonia,LALIGA EA SPORTS,Girona FC
1957,Fabio Miretti,74,CM,CDM,21,Italy,Serie A Enilive,Genoa
1958,Josip Mišić,74,CDM,CM,30,Croatia,Liga Hrvatska,Dinamo Zagreb
1959,Stefan Mitrović,74,CB,,34,Serbia,1A Pro League,KAA Gent
1960,Stoichkov,74,LM,"ST, CAM, LW",30,Spain,LALIGA EA SPORTS,D. Alavés
1961,César Montes,74,CB,,27,Mexico,LALIGA HYPERMOTION,UD Almería
1962,Joni Montiel,74,CAM,"CM, LM",26,Spain,LALIGA EA SPORTS,Rayo Vallecano
1963,Alfredo Morelos,74,ST,,28,Colombia,Liga Colombia,Atl. Nacional
1964,Manu Morlanes,74,CM,CDM,25,Spain,LALIGA EA SPORTS,RCD Mallorca
1965,Carlton Morris,74,ST,,28,England,EFL Championship,Luton Town
1966,Faris Pemi Moumbagna,74,ST,,24,Cameroon,Ligue 1 McDonald's,OM
1967,Ernest Muçi,74,CAM,LW,23,Albania,Trendyol Süper Lig,Beşiktaş
1968,Mert Müldür,74,RB,,25,Turkey,Trendyol Süper Lig,Fenerbahçe
1969,Marius Müller,74,GK,,31,Germany,Bundesliga,VfL Wolfsburg
1970,Aihen Muñoz,74,LB,,27,Spain,LALIGA EA SPORTS,Real Sociedad
1971,Javi Muñoz,74,CM,"CAM, CDM",29,Spain,LALIGA EA SPORTS,UD Las Palmas
1972,Alex Muñoz,74,CB,LB,30,Spain,LALIGA EA SPORTS,UD Las Palmas
1973,Thomas Murg,74,CAM,,29,Austria,Hellas Liga,PAOK FC
1974,Amir Murillo,74,RB,,28,Panama,Ligue 1 McDonald's,OM
1975,Phillipp Mwene,74,LB,"LM, RB",30,Austria,Bundesliga,1. FSV Mainz 05
1976,Marvelous Nakamba,74,CDM,CM,30,Zimbabwe,EFL Championship,Luton Town
1977,Keito Nakamura,74,LM,LW,24,Japan,Ligue 1 McDonald's,Stade de Reims
1978,Khaled Narey,74,RM,RW,30,Germany,ROSHN Saudi League,Al Khaleej
1979,Luca Netz,74,LB,LM,21,Germany,Bundesliga,M'gladbach
1980,Gabriel Neves,74,CM,CDM,27,Uruguay,Libertadores,Estudiantes
1981,Perry Ng,74,RB,CB,28,England,EFL Championship,Cardiff City
1982,Michael Ngadeu,74,CB,,33,Cameroon,CSL,Beijing FC
1983,Arnaud Nordin,74,RM,"ST, RW",26,France,Ligue 1 McDonald's,Montpellier
1984,Ernest Nuamah,74,RW,"ST, RM",20,Ghana,Ligue 1 McDonald's,OL
1985,Juan Jesus,74,CB,,33,Brazil,Serie A Enilive,SSC Napoli
1986,Callum O'Hare,74,CAM,RM,26,England,EFL Championship,Sheffield Utd
1987,Dara O'Shea,74,CB,,25,Republic of Ireland,Premier League,Ipswich
1988,Igoh Ogbu,74,CB,,24,Nigeria,Česká Liga,Slavia Praha
1989,David Okereke,74,ST,"RW, LW",27,Nigeria,Serie BKT,Cremonese
1990,Maduka Okoye,74,GK,,25,Nigeria,Serie A Enilive,Udinese
1991,Joseph Okumu,74,CB,,27,Kenya,Ligue 1 McDonald's,Stade de Reims
1992,Rogério,74,LB,,26,Brazil,Bundesliga,VfL Wolfsburg
1993,Robin Olsen,74,GK,,34,Sweden,Premier League,Aston Villa
1994,Kristoffer Olsson,74,CM,"CDM, CAM",29,Sweden,3F Superliga,FC Midtjylland
1995,Christopher Operi,74,LB,,27,Côte d'Ivoire,Ligue 1 McDonald's,Havre AC
1996,Gift Orban,74,ST,,22,Nigeria,Ligue 1 McDonald's,OL
1997,Ivan Ordets,74,CB,,32,Ukraine,Bundesliga,VfL Bochum 1848
1998,Mislav Oršić,74,LM,"RM, CM, LW",31,Croatia,Trendyol Süper Lig,Trabzonspor
1999,Patrick Osterhage,74,CDM,CM,24,Germany,Bundesliga,SC Freiburg
2000,Juan Ferney Otero,74,ST,RM,29,Colombia,LALIGA HYPERMOTION,R. Sporting
2001,Dango Ouattara,74,LM,"RM, LB, LW",22,Burkina Faso,Premier League,AFC Bournemouth
2002,Magomed Ozdoev,74,CM,CDM,31,Russia,Hellas Liga,PAOK FC
2003,Luis Palma,74,LW,LM,24,Honduras,Scottish Prem,Celtic
2004,Amahl Pellegrino,74,LW,LM,34,Norway,MLS,SJ Earthquakes
2005,Patrick Pentz,74,GK,,27,Austria,3F Superliga,Brøndby IF
2006,Danilo,74,ST,,25,Brazil,Scottish Prem,Rangers
2007,Rubén Pérez,74,CDM,CM,35,Spain,Hellas Liga,Panathinaikos
2008,Romain Perraud,74,LB,,26,France,LALIGA EA SPORTS,Real Betis
2009,Lucas Perrin,74,CB,,25,France,Bundesliga 2,Hamburger SV
2010,Krzysztof Piątek,74,ST,,29,Poland,Trendyol Süper Lig,Başakşehir
2011,Amos Pieper,74,CB,,26,Germany,Bundesliga,SV Werder Bremen
2012,Joël Piroe,74,ST,CAM,25,Holland,EFL Championship,Leeds United
2013,Tommaso Pobega,74,CM,CDM,25,Italy,Serie A Enilive,Bologna
2014,Julien Ponceau,74,CAM,CM,23,France,Ligue 2 BKT,FC Lorient
2015,Alexander Prass,74,CM,"LB, LM",23,Austria,Bundesliga,TSG Hoffenheim
2016,Lukáš Provod,74,CM,"CAM, LM",27,Czech Republic,Česká Liga,Slavia Praha
2017,Teemu Pukki,74,ST,,34,Finland,MLS,Minnesota United
2018,Baba Rahman,74,LB,,30,Ghana,Hellas Liga,PAOK FC
2019,Cristian Ramírez,74,LB,,30,Ecuador,Magyar Liga,Ferencvárosi TC
2020,Moisés Ramírez,74,GK,,24,Ecuador,Libertadores,IDV
2021,Aaron Ramsey,74,CM,CAM,33,Wales,EFL Championship,Cardiff City
2022,Luca Ranieri,74,CB,LB,25,Italy,Serie A Enilive,Fiorentina
2023,Federico Rasmussen,74,CB,,32,Argentina,Primera División,Godoy Cruz
2024,Federico Redondo,74,CM,CDM,21,Argentina,MLS,Inter Miami CF
2025,Rocco Reitz,74,CM,CDM,22,Germany,Bundesliga,M'gladbach
2026,Elvis Rexhbeçaj,74,CM,CDM,26,Kosovo,Bundesliga,FC Augsburg
2027,Fabian Rieder,74,CAM,CM,22,Switzerland,Bundesliga,VfB Stuttgart
2028,Mats Rits,74,CDM,CM,31,Belgium,1A Pro League,RSC Anderlecht
2029,Dmytro Riznyk,74,GK,,25,Ukraine,Ukrayina Liha,Shakhtar Donetsk
2030,Rochinha,74,LW,LM,29,Portugal,Liga Portugal,FC Famalicão
2031,Marek Rodák,74,GK,,27,Slovakia,ROSHN Saudi League,Ettifaq FC
2032,Óscar,74,CM,"LM, RM",26,Spain,LALIGA EA SPORTS,CD Leganés
2033,Manuel Roffo,74,GK,,24,Argentina,Primera División,Instituto
2034,Valentin Rosier,74,RB,,28,France,LALIGA EA SPORTS,CD Leganés
2035,Jérôme Roussillon,74,LB,LM,31,France,Bundesliga,Union Berlin
2036,Raúl Ruidíaz,74,ST,,34,Peru,MLS,Sounders FC
2037,Mikkel Rygaard,74,CM,CAM,33,Denmark,Allsvenskan,BK Häcken
2038,Lukáš Sadílek,74,CM,CDM,28,Czech Republic,Česká Liga,Sparta Praha
2039,Osame Sahraoui,74,LM,LW,23,Norway,Ligue 1 McDonald's,LOSC Lille
2040,Samu Sáiz,74,CAM,LM,33,Spain,Trendyol Süper Lig,Eyüpspor
2041,Diadié Samassékou,74,CDM,CM,28,Mali,Bundesliga,TSG Hoffenheim
2042,Francisco Moura,74,LB,LM,25,Portugal,Liga Portugal,FC Famalicão
2043,Javi Sánchez,74,CB,,27,Spain,LALIGA EA SPORTS,R. Valladolid CF
2044,Manu Sánchez,74,LB,LM,24,Spain,LALIGA EA SPORTS,D. Alavés
2045,Nicola Sansone,74,CAM,ST,33,Italy,Serie A Enilive,Lecce
2046,Josh Sargent,74,ST,,24,United States,EFL Championship,Norwich
2047,Amir Sâyoud,74,RM,"ST, RW",33,Algeria,ROSHN Saudi League,Al Raed
2048,Saba Sazonov,74,CB,,22,Georgia,Serie A Enilive,Torino
2049,Joe Scally,74,RB,CB,21,United States,Bundesliga,M'gladbach
2050,András Schäfer,74,CM,CDM,25,Hungary,Bundesliga,Union Berlin
2051,Bart Schenkeveld,74,CB,,33,Holland,Hellas Liga,Panathinaikos
2052,Alexander Schlager,74,GK,,28,Austria,Ö. Bundesliga,RB Salzburg
2053,Ivan Schranz,74,LM,"RM, ST, LW",31,Slovakia,Česká Liga,Slavia Praha
2054,Marcel Schuhen,74,GK,,31,Germany,Bundesliga 2,SV Darmstadt 98
2055,Stefan Schwab,74,CM,CDM,33,Austria,Hellas Liga,PAOK FC
2056,Alex Scott,74,CM,"CAM, RM",21,England,Premier League,AFC Bournemouth
2057,Ibrahim Šehić,74,GK,,36,Bosnia and Herzegovina,ROSHN Saudi League,Al Khaleej
2058,Alidu Seidu,74,CB,RB,24,Ghana,Ligue 1 McDonald's,Stade Rennais FC
2059,Ryan Sessegnon,74,LB,,24,England,Premier League,Fulham
2060,Petr Ševčík,74,CDM,CM,30,Czech Republic,Česká Liga,Slavia Praha
2061,Ahmed Sharahili,74,CB,,30,Saudi Arabia,ROSHN Saudi League,Al Ittihad
2062,Leonardo Sigali,74,CB,,37,Argentina,Sudamericana,Racing Club
2063,Danylo Sikan,74,ST,,23,Ukraine,Ukrayina Liha,Shakhtar Donetsk
2064,Martín Silva,74,GK,,41,Uruguay,Libertadores,Libertad
2065,Cesinha,74,ST,"LW, CAM",34,Brazil,K League 1,Daegu FC
2066,Abdallah Sima,74,LM,LW,23,Senegal,Ligue 1 McDonald's,Stade Brestois 29
2067,David Simão,74,CM,CDM,34,Portugal,Liga Portugal,Arouca
2068,Ibrahima Sissoko,74,CM,CDM,26,Mali,Bundesliga,VfL Bochum 1848
2069,Sivera,74,GK,,28,Spain,LALIGA EA SPORTS,D. Alavés
2070,Gijs Smal,74,LM,"LB, LW",27,Holland,Eredivisie,Feyenoord
2071,Rubén Sobrino,74,LM,"RM, ST, LW",32,Spain,LALIGA HYPERMOTION,Cádiz CF
2072,Pablo Solari,74,ST,RM,23,Argentina,Libertadores,River Plate
2073,Juan Soriano,74,GK,,27,Spain,LALIGA EA SPORTS,CD Leganés
2074,José Sosa,74,CM,"CAM, CDM",39,Argentina,Libertadores,Estudiantes
2075,Ricardo Esgaio,74,RB,CB,31,Portugal,Liga Portugal,Sporting CP
2076,John Souttar,74,CB,,27,Scotland,Scottish Prem,Rangers
2077,Carl Starfelt,74,CB,,29,Sweden,LALIGA EA SPORTS,RC Celta
2078,Niklas Stark,74,CB,,29,Germany,Bundesliga,SV Werder Bremen
2079,Thomas Strakosha,74,GK,,29,Albania,Hellas Liga,AEK Athens
2080,Pascal Struijk,74,CB,LB,25,Holland,EFL Championship,Leeds United
2081,Luka Sučić,74,CAM,CM,22,Croatia,LALIGA EA SPORTS,Real Sociedad
2082,Stoppila Sunzu,74,CB,,35,Zambia,CSL,Changchun Yatai
2083,Tomáš Suslov,74,RM,"CAM, CM, RW",22,Slovakia,Serie A Enilive,Hellas Verona
2084,Attila Szalai,74,CB,LB,26,Hungary,Bundesliga,TSG Hoffenheim
2085,Damian Szymański,74,CDM,CM,29,Poland,Hellas Liga,AEK Athens
2086,Flavien Tait,74,CM,CDM,31,France,Trendyol Süper Lig,Samsunspor
2087,Matt Targett,74,LB,,28,England,Premier League,Newcastle Utd
2088,Greg Taylor,74,LB,,26,Scotland,Scottish Prem,Celtic
2089,Kenneth Taylor,74,CM,CAM,22,Holland,Eredivisie,Ajax
2090,Nahuel Tenaglia,74,RB,CB,28,Argentina,LALIGA EA SPORTS,D. Alavés
2091,Arnau Tenas,74,GK,,23,Spain,Ligue 1 McDonald's,Paris SG
2092,William Tesillo,74,CB,LB,34,Colombia,Liga Colombia,Atl. Nacional
2093,Phillip Tietz,74,ST,,27,Germany,Bundesliga,FC Augsburg
2094,Karl Toko Ekambi,74,LW,"RW, ST, LM",32,Cameroon,ROSHN Saudi League,Ettifaq FC
2095,Luis Henrique,74,LM,LW,22,Brazil,Ligue 1 McDonald's,OM
2096,Pablo Torre,74,CAM,"LM, CM",21,Spain,LALIGA EA SPORTS,FC Barcelona
2097,Facundo Torres,74,RM,"LM, CAM, RW",24,Uruguay,MLS,Orlando City
2098,Jordan Torunarigha,74,CB,,27,Nigeria,1A Pro League,KAA Gent
2099,Cenk Tosun,74,ST,LW,33,Turkey,Trendyol Süper Lig,Fenerbahçe
2100,Adama Traoré,74,RW,"CAM, RM",29,Mali,Magyar Liga,Ferencvárosi TC
2101,Stefano Turati,74,GK,,23,Italy,Serie A Enilive,Monza
2102,Matt Turner,74,GK,,30,United States,Premier League,Crystal Palace
2103,Gennaro Tutino,74,ST,CAM,28,Italy,Serie BKT,Sampdoria
2104,Ayase Ueda,74,ST,CAM,26,Japan,Eredivisie,Feyenoord
2105,Filip Ugrinic,74,CAM,CM,25,Switzerland,CSSL,BSC Young Boys
2106,Sven Ulreich,74,GK,,36,Germany,Bundesliga,FC Bayern München
2107,Nicolai Vallys,74,CAM,LW,28,Denmark,3F Superliga,Brøndby IF
2108,Milan van Ewijk,74,RB,RM,24,Holland,EFL Championship,Coventry City
2109,Ricky van Wolfswinkel,74,ST,,35,Holland,Eredivisie,FC Twente
2110,Vladyslav Vanat,74,ST,,22,Ukraine,Ukrayina Liha,Dynamo Kyiv
2111,Nuno Tavares,74,LB,LM,24,Portugal,Serie A Enilive,Latium
2112,Johan Vásquez,74,CB,,25,Mexico,Serie A Enilive,Genoa
2113,Unai Vencedor,74,CM,CDM,23,Spain,LALIGA HYPERMOTION,R. Racing Club
2114,Yorbe Vertessen,74,ST,"LW, CAM",23,Belgium,Bundesliga,Union Berlin
2115,Arturo Vidal,74,CM,CAM,37,Chile,Libertadores,Colo-Colo
2116,Tonny Vilhena,74,CM,CDM,29,Holland,Hellas Liga,Panathinaikos
2117,Toni Villa,74,LM,"RM, LW",29,Spain,LALIGA HYPERMOTION,SD Eibar
2118,Iván Villar,74,GK,,27,Spain,LALIGA EA SPORTS,RC Celta
2119,Odysseas Vlachodimos,74,GK,,30,Greece,Premier League,Newcastle Utd
2120,Jed Wallace,74,RM,"CAM, ST, RW",30,England,EFL Championship,West Brom
2121,Daniel Wass,74,CM,,35,Denmark,3F Superliga,Brøndby IF
2122,Tsuyoshi Watanabe,74,CB,,27,Japan,1A Pro League,KAA Gent
